condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,is_fixture
A2_feedback_langsung,entity,0.6946205536343931,0.9259259259259259,0.5925925925925926,0.7407407407407407,0.5486647657591366,0.20161290322580644,0.9149688440803753,0.3304562703392519,0.2862970508486301,583.0,54.0,0.09262435677530018,42,154,0.9177315286511281,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.6179340300532645,0.9259259259259259,0.5370370370370371,0.6296296296296297,0.5202462132641361,0.1607717041800643,0.9036159003831418,0.3738486698839268,0.307583910985505,750.0,54.0,0.072,42,154,0.9177315286511281,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6553666665697101,0.8703703703703703,0.5370370370370371,0.6666666666666666,0.5654611445978353,0.20982142857142858,0.8955751592802632,0.2896357867035332,0.2502567018499751,583.0,54.0,0.09262435677530018,43,108,0.9194080632980336,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.6014925784704367,0.8703703703703703,0.5185185185185185,0.6481481481481481,0.5463175122749591,0.17343173431734318,0.8833546189868029,0.32105060553793313,0.2577127596648483,750.0,54.0,0.072,43,108,0.9194080632980336,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.65469237885041,0.8703703703703703,0.5555555555555556,0.6481481481481481,0.5771738094350023,0.2186046511627907,0.9004410838059231,0.26876826722186276,0.23036025943745747,583.0,54.0,0.09262435677530018,44,105,0.9151415449711239,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5728633543942158,0.8703703703703703,0.5,0.6111111111111112,0.5520771674819969,0.17735849056603772,0.8804810557684121,0.31089507095877245,0.24870956881597656,750.0,54.0,0.072,44,105,0.9151415449711239,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6632266477946342,0.8703703703703703,0.5555555555555556,0.7037037037037037,0.5667504558320101,0.21076233183856502,0.9052544983546874,0.2926607474234073,0.2571032203771276,583.0,54.0,0.09262435677530018,45,96,0.9164317780975255,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.602637809847113,0.8703703703703703,0.5,0.6296296296296297,0.542515554471148,0.1709090909090909,0.89629895700298,0.31575158772144485,0.2658323649059708,750.0,54.0,0.072,45,96,0.9164317780975255,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6442919101405449,0.9074074074074074,0.5370370370370371,0.7037037037037037,0.5231445670317144,0.18490566037735848,0.8920044808513616,0.3602812282161414,0.3123525479067185,583.0,54.0,0.09262435677530018,46,110,0.9131034444919014,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5455914338085547,0.9074074074074074,0.46296296296296297,0.6111111111111112,0.5102665293983071,0.1540880503144654,0.8855363984674329,0.3858674619313504,0.31605652206370477,750.0,54.0,0.072,46,110,0.9131034444919014,37,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
