seed,model,split,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,best_epoch,val_auprc_weak,num_parameters,num_features
43,xgb_graph,val,all,0.26048572685353205,0.8048780487804879,0.2926829268292683,0.43902439024390244,0.453873499196627,0.1,0.7788365612852179,0.39949634491155545,0.2927974483868641,750.0,41.0,0.05466666666666667,70.0,0.933629135709391,,160.0
43,xgb_graph,test,entity,0.16390326191602,0.7297297297297297,0.2702702702702703,0.43243243243243246,0.4602233616046658,0.10975609756097561,0.7191339066339066,0.37707090830117207,0.2971646482496983,565.0,37.0,0.06548672566371681,70.0,0.933629135709391,,160.0
43,xgb_graph,test,all,0.15599975703204869,0.7297297297297297,0.2702702702702703,0.43243243243243246,0.46464586161517313,0.09246575342465753,0.7371593192070051,0.3737009792625904,0.2670628834870114,750.0,37.0,0.04933333333333333,70.0,0.933629135709391,,160.0
43,gcn_homogeneous,val,entity,0.479292945664514,0.7560975609756098,0.4634146341463415,0.6097560975609756,0.46987732095490714,0.12449799196787148,0.7782833020637899,0.37182753150763626,0.2970654544887577,561.0,41.0,0.07308377896613191,20.0,0.9264796983349085,21250.0,
43,gcn_homogeneous,val,all,0.27601681422066415,0.7560975609756098,0.34146341463414637,0.4878048780487805,0.39853828547648773,0.0792838874680307,0.7370738587498711,0.45324453050242547,0.3618181202347796,750.0,41.0,0.05466666666666667,20.0,0.9264796983349085,21250.0,
43,gcn_homogeneous,test,entity,0.5708478402838131,0.8108108108108109,0.5675675675675675,0.6216216216216216,0.4654288979270855,0.11811023622047244,0.7882882882882883,0.3748080734888285,0.28386979390986067,565.0,37.0,0.06548672566371681,20.0,0.9264796983349085,21250.0,
43,gcn_homogeneous,test,all,0.36286991385186085,0.8108108108108109,0.5135135135135135,0.5675675675675675,0.3913215694969765,0.075,0.7588415905386453,0.4560765028223007,0.3517250195410891,750.0,37.0,0.04933333333333333,20.0,0.9264796983349085,21250.0,
44,rgcn,val,entity,0.134600855014892,0.5277777777777778,0.1111111111111111,0.3611111111111111,0.4068717979268438,0.06985294117647059,0.5593160850381066,0.4406350776356956,0.3802736856963135,590.0,36.0,0.061016949152542375,98.0,0.8602910084322211,144130.0,
44,rgcn,val,all,0.11696443720153861,0.5277777777777778,0.05555555555555555,0.25,0.41438477253083994,0.059375,0.5362589480236539,0.451937672500276,0.36763456394351474,750.0,36.0,0.048,98.0,0.8602910084322211,144130.0,
44,rgcn,test,entity,0.08573667638748497,0.5263157894736842,0.15789473684210525,0.2631578947368421,0.37156714950514513,0.03663003663003663,0.5543215837759536,0.4483290652820041,0.3880839223136985,564.0,19.0,0.03368794326241135,98.0,0.8602910084322211,144130.0,
44,rgcn,test,all,0.049072801788937095,0.5263157894736842,0.15789473684210525,0.15789473684210525,0.3760640767683021,0.028985507246376812,0.5379796961624307,0.4685048143041338,0.38240804989240373,750.0,19.0,0.025333333333333333,98.0,0.8602910084322211,144130.0,
44,rule_based,val,entity,0.07472879245509612,0.6388888888888888,0.1111111111111111,0.16666666666666666,0.3906404834680177,0.07516339869281045,0.5551795026073004,0.4608474583696511,0.3471101694622284,590.0,36.0,0.061016949152542375,,,,
44,rule_based,val,all,0.05950201237415158,0.6388888888888888,0.1111111111111111,0.16666666666666666,0.37100664874071637,0.05778894472361809,0.5519568938686586,0.4758000007867813,0.34669666688362766,750.0,36.0,0.048,,,,
44,rule_based,test,entity,0.03500908331045715,0.631578947368421,0.10526315789473684,0.10526315789473684,0.3619909502262444,0.040955631399317405,0.5258329309512313,0.47898936321866425,0.35718528497937735,564.0,19.0,0.03368794326241135,,,,
44,rule_based,test,all,0.026551616081104703,0.631578947368421,0.10526315789473684,0.10526315789473684,0.34242828084449745,0.02962962962962963,0.5221038231694146,0.4912000017861525,0.3530066684480509,750.0,19.0,0.025333333333333333,,,,
44,mlp,val,entity,0.0536517097170309,0.3055555555555556,0.027777777777777776,0.05555555555555555,0.37697053809832703,0.041353383458646614,0.4361211391897313,0.4144195564975173,0.3028813832046139,590.0,36.0,0.061016949152542375,111.0,0.7425008576156877,4866.0,
44,mlp,val,all,0.0410423328142365,0.3055555555555556,0.027777777777777776,0.027777777777777776,0.35906982072283633,0.03064066852367688,0.41238717709305944,0.4440110148588816,0.3162513357502731,750.0,36.0,0.048,111.0,0.7425008576156877,4866.0,
44,mlp,test,entity,0.041367589501329544,0.6842105263157895,0.10526315789473684,0.21052631578947367,0.3644970969811734,0.04406779661016949,0.5697730564944471,0.46560943034867236,0.3202679130869963,564.0,19.0,0.03368794326241135,111.0,0.7425008576156877,4866.0,
44,mlp,test,all,0.028129046164074897,0.6842105263157895,0.0,0.15789473684210525,0.3299069953455127,0.03044496487119438,0.5320037439700482,0.506040998702248,0.354151944508281,750.0,19.0,0.025333333333333333,111.0,0.7425008576156877,4866.0,
