seed,model,stage,confidence,accuracy,count
45,rule_based,after,0.5412280800049765,0.07017543859649122,57
45,rule_based,after,0.6507142841815948,0.12857142857142856,70
45,rule_based,after,0.75,0.0,25
45,rule_based,after,0.8406779665057942,0.0847457627118644,59
45,rule_based,after,0.9898936146117271,0.1595744680851064,94
45,mlp,before,0.05644490072668037,0.058823529411764705,68
45,mlp,before,0.1495301862483594,0.08955223880597014,67
45,mlp,before,0.25717796577561286,0.0967741935483871,31
45,mlp,before,0.34198211914017085,0.07936507936507936,63
45,mlp,before,0.46159401323114124,0.0,28
45,mlp,before,0.5455846922439441,0.03508771929824561,57
45,mlp,before,0.6541578557299471,0.034482758620689655,87
45,mlp,before,0.7493234379217029,0.078125,64
45,mlp,before,0.8499712087891319,0.0,55
45,mlp,before,0.9434826882446513,0.3235294117647059,34
45,mlp,after,0.05653675297146727,0.05172413793103448,58
45,mlp,after,0.14644067077075734,0.07352941176470588,68
45,mlp,after,0.24589805134705134,0.11428571428571428,35
45,mlp,after,0.345950809033478,0.08823529411764706,68
45,mlp,after,0.4634468300001962,0.0,28
45,mlp,after,0.5461085190375646,0.03333333333333333,60
45,mlp,after,0.653010769382767,0.03260869565217391,92
45,mlp,after,0.750290205401759,0.08064516129032258,62
45,mlp,after,0.8490008965686515,0.018518518518518517,54
45,mlp,after,0.9433751743415306,0.3448275862068966,29
45,xgb_graph,before,0.03746917642032107,0.041666666666666664,168
45,xgb_graph,before,0.15196600649505854,0.0,40
45,xgb_graph,before,0.2554124405278879,0.11764705882352941,34
45,xgb_graph,before,0.35492396727204323,0.03125,32
45,xgb_graph,before,0.445761919952929,0.0,32
45,xgb_graph,before,0.5507424880157817,0.13636363636363635,22
45,xgb_graph,before,0.6596368730068207,0.0,30
45,xgb_graph,before,0.7483305045076318,0.10810810810810811,37
45,xgb_graph,before,0.8526418251650674,0.07142857142857142,56
45,xgb_graph,before,0.9531733330013683,0.1553398058252427,103
45,xgb_graph,after,0.03766665959811229,0.043209876543209874,162
45,xgb_graph,after,0.1436218312237321,0.0,41
45,xgb_graph,after,0.2515186675285038,0.10526315789473684,38
45,xgb_graph,after,0.35188905795415243,0.03333333333333333,30
45,xgb_graph,after,0.44309541753360204,0.0,35
45,xgb_graph,after,0.5495732968503778,0.13636363636363635,22
45,xgb_graph,after,0.6561847031116486,0.0,30
45,xgb_graph,after,0.7449247429245397,0.10526315789473684,38
45,xgb_graph,after,0.8525644948085149,0.06666666666666667,60
45,xgb_graph,after,0.9528227557941359,0.16326530612244897,98
45,gcn_homogeneous,before,0.019857248590063627,0.03888888888888889,180
45,gcn_homogeneous,before,0.13758241810968944,0.0,28
45,gcn_homogeneous,before,0.24944023728370668,0.04,25
45,gcn_homogeneous,before,0.3444263268084753,0.0,21
45,gcn_homogeneous,before,0.44847087810436886,0.0,24
45,gcn_homogeneous,before,0.5530116309722265,0.041666666666666664,24
45,gcn_homogeneous,before,0.6521357837177458,0.0,21
45,gcn_homogeneous,before,0.7613731997984426,0.07407407407407407,27
45,gcn_homogeneous,before,0.857923531283935,0.08333333333333333,48
45,gcn_homogeneous,before,0.9671256225078534,0.15384615384615385,156
45,gcn_homogeneous,after,0.02142516022000724,0.03529411764705882,170
45,gcn_homogeneous,after,0.1450215836779939,0.027777777777777776,36
45,gcn_homogeneous,after,0.25606528940525924,0.045454545454545456,22
45,gcn_homogeneous,after,0.3471175003051758,0.0,25
45,gcn_homogeneous,after,0.4517776024341583,0.0,25
45,gcn_homogeneous,after,0.5514897979222811,0.038461538461538464,26
45,gcn_homogeneous,after,0.6504067908162656,0.0,23
45,gcn_homogeneous,after,0.7572763235338272,0.0967741935483871,31
45,gcn_homogeneous,after,0.855961713525984,0.07407407407407407,54
45,gcn_homogeneous,after,0.9628937517253446,0.1619718309859155,142
46,rgcn,before,0.013122103041358876,0.012552301255230125,239
46,rgcn,before,0.13919084259997244,0.0,23
46,rgcn,before,0.24659341459090894,0.038461538461538464,26
46,rgcn,before,0.366931377351284,0.05,20
46,rgcn,before,0.460905621945858,0.05,20
46,rgcn,before,0.5435574028802954,0.0,23
46,rgcn,before,0.6597352939493516,0.0,17
46,rgcn,before,0.7356454616501218,0.09523809523809523,21
46,rgcn,before,0.8540140688419342,0.0625,32
46,rgcn,before,0.9804883915476683,0.3231707317073171,164
46,rgcn,after,0.020094276803835985,0.013333333333333334,225
46,rgcn,after,0.14794140643086925,0.0,29
46,rgcn,after,0.2583914672334989,0.041666666666666664,24
46,rgcn,after,0.34642888605594635,0.0,20
46,rgcn,after,0.44904263218243917,0.06666666666666667,30
46,rgcn,after,0.5410507092109094,0.0,26
46,rgcn,after,0.6592859995776209,0.06896551724137931,29
46,rgcn,after,0.7605638666586443,0.045454545454545456,22
46,rgcn,after,0.8586001576799335,0.06060606060606061,33
46,rgcn,after,0.9716741077753962,0.35374149659863946,147
46,rule_based,before,0.0,0.014925373134328358,67
46,rule_based,before,0.13181818615306506,0.0,33
46,rule_based,before,0.2192307710647583,0.0,78
46,rule_based,before,0.33454545411196623,0.01818181818181818,55
46,rule_based,before,0.43229166107873124,0.10416666666666667,48
46,rule_based,before,0.5375000089406967,0.038461538461538464,52
46,rule_based,before,0.6576923076923077,0.2,65
46,rule_based,before,0.75,0.10344827586206896,29
46,rule_based,before,0.8178571505205972,0.11904761904761904,42
46,rule_based,before,0.9909482737039698,0.28448275862068967,116
46,rule_based,after,0.0,0.014925373134328358,67
46,rule_based,after,0.13181818615306506,0.0,33
46,rule_based,after,0.2192307710647583,0.0,78
46,rule_based,after,0.33454545411196623,0.01818181818181818,55
46,rule_based,after,0.43229166107873124,0.10416666666666667,48
46,rule_based,after,0.5375000089406967,0.038461538461538464,52
46,rule_based,after,0.6576923076923077,0.2,65
46,rule_based,after,0.75,0.10344827586206896,29
46,rule_based,after,0.8178571505205972,0.11904761904761904,42
46,rule_based,after,0.9909482737039698,0.28448275862068967,116
46,mlp,before,0.06304677544122046,0.06382978723404255,47
46,mlp,before,0.15704459400431622,0.04854368932038835,103
46,mlp,before,0.24307977468580813,0.08108108108108109,37
46,mlp,before,0.3640660706066316,0.06451612903225806,62
46,mlp,before,0.44599679829897704,0.0,54
46,mlp,before,0.5501319632601382,0.13432835820895522,67
46,mlp,before,0.6478751259937621,0.19298245614035087,57
46,mlp,before,0.7460480439662933,0.08,50
46,mlp,before,0.8493973827752911,0.18032786885245902,61
46,mlp,before,0.9482392059995773,0.2765957446808511,47
46,mlp,after,0.05968179721005109,0.061224489795918366,49
46,mlp,after,0.15230911805366093,0.0673076923076923,104
46,mlp,after,0.23999991487054265,0.029411764705882353,34
46,mlp,after,0.3622039606173833,0.06060606060606061,66
46,mlp,after,0.44789777755737303,0.0,50
46,mlp,after,0.5494278240948915,0.140625,64
46,mlp,after,0.649849937359492,0.18333333333333332,60
46,mlp,after,0.7470251109864977,0.06666666666666667,45
46,mlp,after,0.8499317301644219,0.19047619047619047,63
46,mlp,after,0.9494861209392548,0.26,50
46,xgb_graph,before,0.04740528230237343,0.006097560975609756,164
46,xgb_graph,before,0.1392343338917602,0.015151515151515152,66
46,xgb_graph,before,0.24131978513338628,0.02564102564102564,39
46,xgb_graph,before,0.35065457305392705,0.0,37
46,xgb_graph,before,0.44896611960037897,0.0,23
46,xgb_graph,before,0.5499629709455702,0.2222222222222222,27
46,xgb_graph,before,0.6555522130085871,0.07692307692307693,39
46,xgb_graph,before,0.7567895227862943,0.1935483870967742,31
46,xgb_graph,before,0.8574401869702695,0.11940298507462686,67
46,xgb_graph,before,0.9414880606143371,0.40217391304347827,92
46,xgb_graph,after,0.0391998056608897,0.005128205128205128,195
46,xgb_graph,after,0.1436184162602705,0.0392156862745098,51
46,xgb_graph,after,0.23529066546605185,0.0,26
46,xgb_graph,after,0.33818670715156357,0.0,38
46,xgb_graph,after,0.4513686801257886,0.0,19
46,xgb_graph,after,0.5518988966941833,0.20833333333333334,24
46,xgb_graph,after,0.6564776043097178,0.06666666666666667,30
46,xgb_graph,after,0.7439312849725995,0.14285714285714285,28
46,xgb_graph,after,0.8579389578417728,0.10526315789473684,57
46,xgb_graph,after,0.9521048573347238,0.36752136752136755,117
46,gcn_homogeneous,before,0.014409999583745907,0.018018018018018018,222
46,gcn_homogeneous,before,0.1424504742026329,0.09090909090909091,22
46,gcn_homogeneous,before,0.25572400689125063,0.0,10
46,gcn_homogeneous,before,0.34618833920230035,0.0,23
46,gcn_homogeneous,before,0.43480829965500606,0.0,21
46,gcn_homogeneous,before,0.5551624610310509,0.0,21
46,gcn_homogeneous,before,0.6519495065395648,0.0,13
46,gcn_homogeneous,before,0.7393374592065811,0.1,20
46,gcn_homogeneous,before,0.8600512641541501,0.02127659574468085,47
46,gcn_homogeneous,before,0.9706413784334736,0.2903225806451613,186
46,gcn_homogeneous,after,0.02238083485061251,0.014563106796116505,206
