seed,dropped_ecosystem,condition,group,repeat_seed,auprc,n,n_pos
47,pinjol,joint,both_saja,48,0.4849188121081771,531,36
47,pinjol,joint,judol_saja,48,0.7880507343124166,501,6
47,pinjol,siloed,semua_tersisa,47,0.5642227343577346,537,42
47,pinjol,siloed,both_saja,47,0.4892556351103563,531,36
47,pinjol,siloed,judol_saja,47,0.7282195039075773,501,6
47,pinjol,siloed,semua_tersisa,48,0.6126931891883939,537,42
47,pinjol,siloed,both_saja,48,0.5503571605429527,531,36
47,pinjol,siloed,judol_saja,48,0.7730605048255382,501,6
47,judol,joint,semua_tersisa,47,0.4547793515964567,546,51
47,judol,joint,both_saja,47,0.4473959224535519,531,36
47,judol,joint,pinjol_saja,47,0.1504301486388177,510,15
47,judol,joint,semua_tersisa,48,0.5533937556743143,546,51
47,judol,joint,both_saja,48,0.4849188121081771,531,36
47,judol,joint,pinjol_saja,48,0.4568060924912621,510,15
47,judol,siloed,semua_tersisa,47,0.45692487167126256,546,51
47,judol,siloed,both_saja,47,0.43296540222498753,531,36
47,judol,siloed,pinjol_saja,47,0.1758908055966367,510,15
47,judol,siloed,semua_tersisa,48,0.5036882541899801,546,51
47,judol,siloed,both_saja,48,0.495556026902731,531,36
47,judol,siloed,pinjol_saja,48,0.23825554151346687,510,15
