seed,model,scope,n_init,auprc_single,auprc_init_mean,auprc_init_std,auprc_ensemble,gain_vs_single,gain_vs_init_mean,ens_auprc,ens_recall,ens_recall_at_50,ens_recall_at_100,ens_macro_f1,ens_precision,ens_roc_auc,ens_ece,ens_brier,ens_n,ens_n_pos,ens_pos_rate
44,mlp,all,5,0.028129046164074897,0.02974615362170909,0.0013286310172772157,0.02936113811782425,0.0012320919537493515,-0.00038501550388484254,0.02936113811782425,0.6842105263157895,0.05263157894736842,0.15789473684210525,0.33930144520368566,0.03140096618357488,0.546547627618979,0.4983989528827369,0.34688080695528245,750.0,19.0,0.025333333333333333
44,gcn_homogeneous,entity,5,0.048993518975501804,0.0750984015747431,0.021863640817605192,0.06202748452136635,0.013033965545864543,-0.013070917053376749,0.06202748452136635,0.5263157894736842,0.15789473684210525,0.15789473684210525,0.36791839916839914,0.036101083032490974,0.5619507484307098,0.4386173934979424,0.35628522663427575,564.0,19.0,0.03368794326241135
44,gcn_homogeneous,all,5,0.025031626108596536,0.029011048954312207,0.002431189835295937,0.028245703900806295,0.003214077792209759,-0.0007653450535059121,0.028245703900806295,0.5263157894736842,0.05263157894736842,0.15789473684210525,0.32674030366111195,0.023923444976076555,0.5106919144646843,0.5086967551966384,0.41581111037459445,750.0,19.0,0.025333333333333333
44,xgb_graph,entity,5,0.11551510178402503,0.07667879982903215,0.0275619873331055,0.05733767058862306,-0.058177431195401974,-0.019341129240409094,0.05733767058862306,0.5789473684210527,0.15789473684210525,0.21052631578947367,0.3944131390874107,0.043478260869565216,0.6228874939642686,0.41136917321714045,0.3166800539682458,564.0,19.0,0.03368794326241135
44,xgb_graph,all,5,0.1112269422052287,0.07124215942731404,0.02821290255792274,0.05197271934812507,-0.05925422285710363,-0.019269440079188974,0.05197271934812507,0.5789473684210527,0.15789473684210525,0.21052631578947367,0.40042705066842715,0.03514376996805112,0.6415148678810569,0.40525950423600154,0.286975200067999,750.0,19.0,0.025333333333333333
44,rule_based,entity,1,0.03500908331045715,0.03500908331045715,0.0,0.03500908331045715,0.0,0.0,0.03500908331045715,0.631578947368421,0.10526315789473684,0.10526315789473684,0.3619909502262444,0.040955631399317405,0.5258329309512313,0.47898936321866425,0.35718528497937735,564.0,19.0,0.03368794326241135
44,rule_based,all,1,0.026551616081104703,0.026551616081104703,0.0,0.026551616081104703,0.0,0.0,0.026551616081104703,0.631578947368421,0.10526315789473684,0.10526315789473684,0.34242828084449745,0.02962962962962963,0.5221038231694146,0.4912000017861525,0.3530066684480509,750.0,19.0,0.025333333333333333
45,rgcn,entity,5,0.41108001919435,0.39374561380596995,0.028624598698898236,0.38448892086288483,-0.02659109833146517,-0.00925669294308512,0.38448892086288483,0.7435897435897436,0.4358974358974359,0.5384615384615384,0.4457878941323223,0.11068702290076336,0.7552402290266368,0.39550315603073316,0.34183350446800653,554.0,39.0,0.0703971119133574
45,rgcn,all,5,0.2868995343428794,0.26813425660906326,0.03687041620788117,0.287440014092662,0.0005404797497826075,0.01930575748359875,0.287440014092662,0.7435897435897436,0.358974358974359,0.5384615384615384,0.4512159189125481,0.0914826498422713,0.7401997908327022,0.4202778237032698,0.33399151726062437,750.0,39.0,0.052
45,mlp,entity,5,0.24355545250508776,0.23106507950956523,0.012664539176230465,0.24453802500391408,0.0009825724988263285,0.013472945494348854,0.24453802500391408,0.5128205128205128,0.28205128205128205,0.358974358974359,0.37529605019294476,0.06896551724137931,0.5668907144635299,0.4185571257984904,0.3115521772295769,554.0,39.0,0.0703971119133574
45,mlp,all,5,0.15836206980190518,0.15690989646286152,0.015366286568770442,0.156231540383736,-0.002130529418169186,-0.0006783560791255305,0.156231540383736,0.5128205128205128,0.2564102564102564,0.28205128205128205,0.3567753001715266,0.04987531172069826,0.5479101301886112,0.45274447755826014,0.33446454435689277,750.0,39.0,0.052
45,gcn_homogeneous,entity,5,0.49034066015072436,0.4969084662022597,0.0374458096629355,0.4918904170792591,0.0015497569285347623,-0.005018049123000579,0.4918904170792591,0.7948717948717948,0.41025641025641024,0.5641025641025641,0.4514761717727154,0.1169811320754717,0.7708737864077669,0.4120833627361332,0.34722877257788537,554.0,39.0,0.0703971119133574
45,gcn_homogeneous,all,5,0.1335896237521215,0.14342423473100963,0.013740022169483924,0.14214913671538928,0.00855951296326779,-0.0012750980156203406,0.14214913671538928,0.7948717948717948,0.3333333333333333,0.41025641025641024,0.36708077225430663,0.07175925925925926,0.7051282051282052,0.5134120979092637,0.445486054105418,750.0,39.0,0.052
45,xgb_graph,entity,5,0.24987107853548893,0.20885095615807753,0.04057040817783579,0.1932247033758828,-0.05664637515960613,-0.015626252782194733,0.1932247033758828,0.6923076923076923,0.3333333333333333,0.38461538461538464,0.4455244037772985,0.1062992125984252,0.6805576300721932,0.39029214634275944,0.2985502367319181,554.0,39.0,0.0703971119133574
45,xgb_graph,all,5,0.24105788733335465,0.20122058566437243,0.03949077025410987,0.18575953716021348,-0.055298350173141164,-0.015461048504158942,0.18575953716021348,0.6923076923076923,0.3333333333333333,0.38461538461538464,0.466978815020746,0.09407665505226481,0.7044610335749577,0.37312177258140095,0.25448087238442724,750.0,39.0,0.052
45,rule_based,entity,1,0.14754106886734947,0.14754106886734947,0.0,0.14754106886734947,0.0,0.0,0.14754106886734947,0.8461538461538461,0.358974358974359,0.38461538461538464,0.41399305978327045,0.10819672131147541,0.7216828478964402,0.47003610122827844,0.35004512646138036,554.0,39.0,0.0703971119133574
45,rule_based,all,1,0.11375820599799741,0.11375820599799741,0.0,0.11375820599799741,0.0,0.0,0.11375820599799741,0.8461538461538461,0.358974358974359,0.358974358974359,0.37656894225048765,0.07710280373831775,0.7171733564138627,0.4934000005622704,0.3597900006886324,750.0,39.0,0.052
