condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,seed,annotation_source,annotation_manifest,is_fixture
A2_feedback_langsung,entity,0.6851706934201574,0.9444444444444444,0.5740740740740741,0.7407407407407407,0.5206429361429652,0.18613138686131386,0.9104879927186166,0.36630076165656367,0.298085300499782,583.0,54.0,0.09262435677530018,42,101,0.9025124441861783,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.6266831161809076,0.9444444444444444,0.5370370370370371,0.6666666666666666,0.49743439109242615,0.15,0.9018997445721583,0.4186435185733086,0.324382444902557,750.0,54.0,0.072,42,101,0.9025124441861783,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.661354776282978,0.8888888888888888,0.5925925925925926,0.6851851851851852,0.5459659890039636,0.19753086419753085,0.8983406847300988,0.33809273138609963,0.25257882228032663,583.0,54.0,0.09262435677530018,43,52,0.9030543484325781,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.6263714976832417,0.8888888888888888,0.5370370370370371,0.6481481481481481,0.5230277753128051,0.16,0.89272030651341,0.37942616430475995,0.2698227581075735,750.0,54.0,0.072,43,52,0.9030543484325781,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6395239692585231,0.9259259259259259,0.5185185185185185,0.6851851851851852,0.5588294951007926,0.20833333333333334,0.8996359308268571,0.3319961091257491,0.25036241999897846,583.0,54.0,0.09262435677530018,44,70,0.9020423630420233,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5789083097423682,0.9259259259259259,0.5,0.5925925925925926,0.5398125050293715,0.1724137931034483,0.8911770966368668,0.3744647075732549,0.26993099205200655,750.0,54.0,0.072,44,70,0.9020423630420233,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6457577670759905,0.8888888888888888,0.5185185185185185,0.7037037037037037,0.5459659890039636,0.19753086419753085,0.8987957711965273,0.3339978520761433,0.28186615749747373,583.0,54.0,0.09262435677530018,45,103,0.9007438532761365,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.6086982449570468,0.8888888888888888,0.5,0.6111111111111112,0.5304094328848639,0.1643835616438356,0.8977756492124309,0.3519272917892619,0.28032798055227165,750.0,54.0,0.072,45,103,0.9007438532761365,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6863210231747905,0.9444444444444444,0.5740740740740741,0.7407407407407407,0.5380072366256989,0.19615384615384615,0.9161590702233424,0.36344410404252436,0.294280354777214,583.0,54.0,0.09262435677530018,46,98,0.9069537564667698,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.6261619551758227,0.9444444444444444,0.5185185185185185,0.6666666666666666,0.5210957904440006,0.1624203821656051,0.9107598978288634,0.38537099881427517,0.29847290997070886,750.0,54.0,0.072,46,98,0.9069537564667698,207,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.717974957037556,0.9814814814814815,0.6296296296296297,0.7592592592592593,0.5378900993566702,0.19850187265917604,0.9244906532241126,0.3643661579456937,0.28448867580255016,583.0,54.0,0.09262435677530018,42,140,0.8929578508290528,562,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.6404229623050028,0.9814814814814815,0.5740740740740741,0.7037037037037037,0.5273626476317814,0.16825396825396827,0.9201787994891444,0.39518022109849815,0.29255193560452486,750.0,54.0,0.072,42,140,0.8929578508290528,562,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
