condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,annotation_manifest,is_fixture
A3_feedback_propagasi,entity,0.6478218431730952,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.5573272589217919,0.20512820512820512,0.8917944409437794,0.30762723201943665,0.2599243883323048,583.0,54.0,0.09262435677530018,42,126,0.9178092314800526,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.5568883126769871,0.8888888888888888,0.48148148148148145,0.6111111111111112,0.5276313856892847,0.16271186440677965,0.8758514261387824,0.34986145636392396,0.2818441805432972,750.0,54.0,0.072,42,126,0.9178092314800526,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.5972003866466529,0.8703703703703703,0.5,0.5925925925925926,0.5389668753592328,0.19183673469387755,0.8687600644122384,0.32468882403645816,0.2891922255262677,583.0,54.0,0.09262435677530018,43,108,0.9201926071201377,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.5580533597143821,0.8703703703703703,0.46296296296296297,0.5370370370370371,0.5238972464457219,0.15932203389830507,0.8647296722009365,0.34237908343149537,0.2872419727395453,750.0,54.0,0.072,43,108,0.9201926071201377,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.6251655980465196,0.8703703703703703,0.5,0.6851851851851852,0.5719372079954387,0.2146118721461187,0.8880837359098229,0.27768877806580694,0.24191889891842813,583.0,54.0,0.09262435677530018,44,105,0.9223168783050716,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.5338277528716362,0.8703703703703703,0.46296296296296297,0.5925925925925926,0.5472726127488032,0.17407407407407408,0.8638516389953171,0.32665794669430254,0.26309624123903963,750.0,54.0,0.072,44,105,0.9223168783050716,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.6346813687862926,0.8703703703703703,0.5185185185185185,0.6666666666666666,0.5402066000680419,0.19262295081967212,0.8905166981726529,0.327213903293357,0.2826795327887934,583.0,54.0,0.09262435677530018,45,92,0.9230569282621958,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.583297680891229,0.8703703703703703,0.5,0.6111111111111112,0.5211533892936332,0.15771812080536912,0.8856029161345254,0.3433815505667217,0.285128494972553,750.0,54.0,0.072,45,92,0.9230569282621958,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.6486940773194066,0.9074074074074074,0.5185185185185185,0.6481481481481481,0.5479626436449063,0.2,0.8977805783098789,0.3261402546363058,0.2782707653958305,583.0,54.0,0.09262435677530018,46,117,0.9169612867969147,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.5905421646027841,0.9074074074074074,0.48148148148148145,0.6296296296296297,0.5313655249328477,0.16610169491525423,0.8901660280970626,0.35635146557493225,0.2850909684813356,750.0,54.0,0.072,46,117,0.9169612867969147,19,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
